question,type,answer1,answer2,answer3,answer4,level,comment
ぬこたんがブログでメタルファンにもお勧めできると仰っているクラシック音楽はどれでしょう？,one_answer,組曲『惑星』,白鳥の湖,ファウスト序曲,ピアノソナタ第23番『熱情』,2,"イギリスの作曲家ホルストの代表作、組曲『惑星』です。
エイドリアン・ボールト指揮、ロンドンフィルハーモニー管弦楽団の音源が特にお勧めとのことです。
「火星」の勇壮さなどはメタルファンにもお勧めだそうです。"
ぬこたんがクラシック音楽を聴くきっかけになった音楽はどれでしょう？,one_answer,白鳥の湖,組曲『惑星』,ファウスト序曲,ピアノソナタ第23番『熱情』,2,"白鳥の湖です。
幼い頃テレビでバレエの「白鳥の湖」を見たのがきっかけとのことです。"
ぬこたんと同じレコード会社に属し、個人的に交流のあるミュージシャンは誰でしょう？,one_answer,米倉千尋さん,椎名林檎さん,aikoさん,浜崎あゆみさん,1,"米倉千尋さんです。
ボーカリスト仲間であることに加え、貴重なホラー好き仲間でもあるとのことです。"
ぬこたんが一時期憧れていた髪型はどれでしょう？,one_answer,モヒカン,リーゼント,パンチパーマ,スポーツ刈り,2,"モヒカンです。
スラッシュメタルバンド「SLAYER」のギタリスト、ケリー・キングのルックスに憧れていたとのことです。"
愛用している蛙のぬいぐるみの名前はどれでしょう？,one_answer,ケロヤン,ケロスケ,ケロケロ,"ゲロゲロ
",1,"ケロヤンです。
ステージの守り神として、アンプの上に鎮座していることも多いです。"
大阪で食べた美味しいちゃんはどれでしょう？,one_answer,お好み焼き,バッテラ,うどんすき,どて焼き,3,"お好み焼きです。
関西風のものを食べてもちろんお味は最高！だったそうです。"
振り替え公演となった滋賀公演で「お返しに」とアンコールでぬこたんが取った行動はどれでしょう？,one_answer,「黒蛙・ケロ猫」の着ぐるみに身を包みステージで歌った。,宮沢賢治の朗読を行った。,お菓子を振舞った。,お茶を振舞った。,2,"「黒蛙・ケロ猫」の着ぐるみに身を包みステージで歌いました。
メンバーには「そっちを見たら笑って演奏できなくなりそうだったよ！」と言われたそうです。"
三重で食べた美味しいちゃんはどれでしょう？,one_answer,太白永餅,豚テキ,カレー天津飯,伊勢うどん,4,"太白永餅です。
とっても美味しくて凄く気に入ったそうです。"
ベルリンで飲んだ美味しいちゃんはどれでしょう？,one_answer,Maracuja juice,Orange juice,Apple juice,Mix juice,4,"Maracuja juiceです。
パッションフルーツの味です。"
ベルリンで見た映画はどれでしょう？,one_answer,ネバー・エンディング・ストーリー,スター・ウォーズ,ライオン・キング,死霊のはらわた,3,"ネバー・エンディング・ストーリーです。
ドイツ語吹き替え版というレアものだったらしいです。"
ぬこたんが狙っていたベルリン土産はどれでしょう？,one_answer,アンペルマンのTシャツ,トリッペンの靴,タウシェの鞄,シュタイフのティディベア,3,"アンペルマンのTシャツです。
現地の人に買ってきてもらったとのことです。"
ベルリンのスタッフに付けられたあだ名はどれでしょう？,one_answer,ニコ,ヌコ,ネコ,モコ,2,"ニコです。
「ネコ」が呼びづらいので「ニコ」になったそうですが、兄上からはニコ・マクブレイン＝アイアン・メイデンのドラマーと勘違いされたそうです。"
ベルリンで食べた美味しいちゃんを2つ選んでください。,two_answer,シュニッツェル,クヌーデル,アイスバイン,シュヴァイネハクセ,4,"「シュニッツェル」と「クヌーデル」です。
兄上はクヌーデルを「芋の餅だから」という事で「いもち」と呼んでいたそうです。"
「睡」のPV撮影で宙づりになった時、スタッフに褒められた？励まされた？,one_answer,褒められた,励まされた,,,2,"「飛ぶのが上手い」と褒められました。
運動音痴で名高いぬこたんですが、バランス感覚はよいようです。"
ぬこたんが一番好きなカレーの具を2つ選んでください。,two_answer,鶏肉,しめじ,じゃがいも,にんじん,3,"「鶏肉」と「しめじ」です。
しめじは他でも好きと紹介している記述がありますね。"
ぬこたんが憧れる冬のお洒落小物はどれでしょう？,one_answer,帽子,手袋,マフラー,靴,2,"「帽子」です。
顔が小さいのではなく頭が小さいので合うサイズの帽子を見つけるのが至難の業だそうです。"
ぬこたんの友人がぬこたんの頭部に対して言い放った言葉はどれでしょう？,one_answer,「どんぐり、もしくは卵」,「とり頭」,「匂いかがせて」,「髪切ったら？」,2,"「どんぐり、もしくは卵」です。
顔ではなく頭が小さくて悩んでいるぬこたんにとっては辛い言葉です。"
ぬこたんと招鬼で組んだユニット「タルツ」。ぬこたんのカラーはどれでしょう？,one_answer,タルツレッド,タルツブルー,タルツグリーン,タルツピンク,3,"「タルツレッド」です。
世界中の甘味を徹底調査中とのことです。
招鬼は「タルツグリーン」です。色の由来と意味は謎です。"
ぬこたんが子供の頃から好きでコレクションしているものを2つ選んでください。,two_answer,図鑑,化石・鉱石,真空管,酒瓶,1,"「図鑑」と「化石・鉱石」です。
生物学者のおじいさまの血を引いているだけあって、動植物には幼少のみぎりから接しているようです。
"
見たことも無いようなへんてこな形の生き物や、不思議な習性を持つ生き物などがたくさん紹介されている本として紹介した本はどれでしょう？,one_answer,へんないきもの,いきものがかり,いきものぐるい,ふしぎないきもの,1,"「へんないきもの」です。
風に乗って滑空するイカとか、甲羅にスマイルマークそっくりの模様がある蟹とか載っているみたいです。"
ぬこたんがお風呂に入っている時間を利用して作った美味しいちゃんはどれでしょう？,one_answer,チョコレートとナッツのクッキー,食パン,ポトフ,南瓜の煮物,2,"「チョコレートとナッツのクッキー」です。
生地を休ませている間にお風呂に入っていたそうです。"
2007年のぬこたんの新年の抱負はどれでしょう？,one_answer,植物を育てること,インプットの多い年にすること,運動すること,早起きすること,2,"「植物を育てること」です。
実際にその後の記事で育てた植物を紹介していますね。
「インプットの多い年にすること」は2010年の抱負です。"
ぬこたんが好きな古生代はどれでしょう？,one_answer,石炭紀,カンブリア紀,オルドビス紀,シルル紀,4,"「石炭紀」です。
シダ植物が繁栄して爬虫類が出現し、昆虫類（しかも超ビッグな）がたーくさんいた時代。タイムマシンがあったら是非行ってみたいそうです。"
けろやん以外で登場しているぬこたんのカエルのぬいぐるみの名前はどれでしょう？,one_answer,ゴジロウ君,シロウ君,サブロウ君,ジロウ君,3,"「ゴジロウ君」です。
アンモナイトの化石をもって登場しました。"
ぬこたんが曲作りで利用しているシンセサイザーはいつ頃発売のものを使っているでしょう？,one_answer,1990年～2000年,1990年～2000年,1970年～1980年,2000年～2010年,2,"「1990年～2000年」です。
最新機器を購入したところで絶対に使いこなせないので、これで充分とのことです。
機種名は公表されていませんが、写真から「YAMAHA QS300」(1995年発売)を使っていると思われます。"
夢虫を作曲した際に使用した楽器はどれでしょう？,one_answer,エレクトーン,アップライトピアノ,シンセサイザー,オルガン,2,"「エレクトーン」です。
中学のときの作曲ということなので、この頃はエレクトーンを習っていたのでしょうか。"
ぬこたんの髪の毛は、つむじの関係なのか一定方向に流れるクセがあり、ほおっておくと全ての前髪が左に向かっていく現象のことを何と言うでしょう？,one_answer,「黒猫さんのじゅうぜろ」,「黒猫さんじゅうななさい」,「黒猫さんの頑固な毛」,「黒猫さんは花輪君」,1,"「黒猫さんのじゅうぜろ」です。
「七・三分け」ならぬ「十・零分け」という意味で、ライブの後、楽屋に帰って鏡を見ると大体いつも「じゅうぜろ」になるそうです。"
ぬこたんイチオシのお鍋のメーカーはどれでしょう？,one_answer,ル・クルーゼ,ティファール,バイオタン,ストウブ,2,"「ル・クルーゼ」です。
ホーロー製で熱伝導が良く保温性抜群なので、煮物も短時間でふっくら出来上がるし、カレー等を作っても、後の焦げつきやこびりつきが全く無いんです。"
ぬこたんイチオシのパスタのソースはどれでしょう？,one_answer,トマトソース,和風ソース,クリームソース,ペペロンソース,2,"「トマトソース」です。
トマト大好きなぬこたんです。"
海ほたるSAで食べた美味しいちゃんはどれでしょう？,one_answer,海ほたる焼き,海ほたるソーセージ,海ほたる丼,海ほたるアイス,4,"「海ほたる焼き」です。
鯛焼きならぬ、です。"
ぬこたんは健脚ですか？,one_answer,健脚です,健脚ではありません,,,1,"「健脚」です。
2時間くらいは平気で歩いてしまうようです。"
ぬこたんは花粉症ですか？,one_answer,花粉症ではありません,花粉症です,,,2,"花粉症ではありません。
お医者さんのお墨付きだそうです。"
健康ブームに乗ってぬこたんが行ったことはどれでしょう？,one_answer,八穀米を食べるようにした,ジョギングを始めた,早起きを始めた,Wiifitを始めた,2,"八穀米を食べるようにしたです。
Wiifitも行っていますが、健康ブームとの因果関係は示されていません。"
陰陽座がパーソナリティを務めていたラジオ番組はどれでしょう？,one_answer,HOT ROCKIN',BEAT SHUFFLE,BLAST BEAT,SHUFFLE MIXTURE,1,"「HOT ROCKIN'」です。
2004年4月～2011年3月にかけて行っていました。"
ぬこたんの関口台スタジオに置かれているピアノのメーカーはどれでしょう？,one_answer,ベーゼンドルファー,ヤマハ,カワイ,スタインウェイ,2,"「ベーゼンドルファー」です。
「星の宿り」や「組曲「鬼子母神」～月光」のピアノはこのピアノで録音されているとのことです。"
ぬこたん最愛のホラー映画はどれでしょう？,one_answer,悪魔のいけにえ,サスペリア,リング,悪魔の追跡,2,"「悪魔のいけにえ」です。
ぬこたんが予約したBOXセットのみ発売が延期される哀しい事件が発生しました。"
ぬこたんのデジカメケースのモデルはどれでしょう？,one_answer,カエル型,棺おけ型,ウサギ型,ティッシュ型,2,"「カエル型」です。
かなり熱く語っておられました。"
「生きることとみつけたり」でぬこたんが歌っている箇所はあるでしょうか？,one_answer,あります,ありません,,,1,"サビのコーラスパートを担当しています。
コンセプトは「熱唱する少年」だそうです。"
ぬこたんが紹介したことのある宮沢賢治のアイテムはどれでしょう？,one_answer,手帳,万年筆,下駄,日記,2,"「手帳」です。
ちゃんと、賢治の書き留めた言葉もそのままで復刻されているとのことです。"
博多で食べた美味しいちゃんはどれでしょう？,one_answer,通りもん,ひよ子,博多の女,めんべい,3,「通りもん」です。
松山で食べた美味しいちゃんはどれでしょう？,one_answer,じゃこ天,鯛麺,ぼっかけ,たこめし,3,「じゃこ天」です。
盛岡で食べた美味しいちゃんを2つ選んでください。,two_answer,わんこそば,冷麺,ひゅうず,うちわ餅,4,"「わんこそば」と「冷麺」です。
結果は38杯！女性の平均は40杯ぐらいだそうですので、何とかそこまでは辿り着いたそうです。"
仙台で食べた美味しいちゃんはどれでしょう？,one_answer,牛タン,温麺,あざら,ほっき飯,3,「牛タン」です。
ぬこたんにとって「スポーツの秋」は・・・,one_answer,殆ど縁がありません。,漲る季節です。,,,1,"「殆ど縁がありません」です。
筋金入りの運動音痴です。"
ぬこたんが参戦した「猫森集会」の主催者の名前はどれでしょう？,one_answer,谷山浩子さん,松任谷由実さん,中島みゆきさん,坂本真綾さん,3,"「谷山浩子さん」です。
ぬこたんと好きな画家が殆ど同じで敬愛する大先輩とのことです。"
広島の蔵元「水龍」さんから差し入れられたお酒の名前はどれでしょう？,one_answer,天女の接吻,黒衣の天女,天使の接吻,白衣の天使,2,"「天女の接吻」です。
お味はもちろん極上で、みんな上機嫌になったそうです。"
ぬこたんの隠れた特技はどれでしょう？,one_answer,きのこを見つけること！,野草を見つけること！,道に迷わないこと！,鉄棒だけは上手いこと！,2,"「きのこを見つけること！」です。
東京や大阪などの都会でも、案外見つかります。
生えている木の種類や場所、天候などで ぴーんと来るんだそうです。"
周りからは「ぽくぽくサンダル」と呼ばれるぬこたんお気に入りの靴のメーカーの名前はどれでしょう？,one_answer,BIRKENSTOCK,LA Gear,快歩主義,Kappa,3,"「BIRKENSTOCK」です。
形もかわいいし非常に楽ちんなので、お散歩にもお出かけにも良いそうです。"
一時期ぬこたんがハマっていたハーゲンダッツの味を2つ選んでください。,two_answer,アルフォンソマンゴー,ワイルドアップル,ラムレーズン,メルティーキャラメル,4,"「アルフォンソマンゴー」と「ワイルドアップル」です。
爽やかでとーっても美味くてオススメで、常に冷蔵庫に2個ずつぐらいストックしているそうです。"
ぬこたんがツアーに持参しているカメラバッグのメーカーはどれでしょう？,one_answer,VANGUARD,Lowepro,PELICAN,KEROYAN,3,"「VANGUARD」です。
ポケットや仕切りもあって、小物類も収納できるし
 便利とのことです。"
長野で食べた美味しいちゃんを2つ選んでください。,two_answer,おやき,くれ葉,笹寿司,山賊焼,4,"「おやき」と「くれ葉」です。
昔からお米の代用品として食べられてきた物で、小麦粉で作られた皮の中身は野沢菜や切り干し大根などの野菜やきのこ、餡など様々な具がぎっしり詰まっています。"
ぬこたんのカメラバッグについているバッジはどれでしょう？,one_answer,「カエルを救おう」バッジ,「カエルを称えよう」バッジ,「カエルを愛でよう」バッジ,「カエルを食べよう」バッジ,4,"「カエルを救おう」バッジです。
 カエル年カエルの日に配布されたそうです。"
仙台で食べた銘菓はどれでしょう？,one_answer,萩の月,ずんだもち,喜久福,支倉焼,4,"「萩の月」です。
まんまるお月様みたいなフワフワの生地の中に、
 なめらかなカスタードクリーム。
 何度食べても美味しいそうです。"
ぬこたんの一眼レフの製品名はどれでしょう？,one_answer,Canon EOS Kiss X2,PENTAX K-30,Nikon D7000 18-105,CANON EOS 60D,3,"「Canon EOS Kiss X2」です。
入門者にはすごく扱いやすいと思います。
 軽量なので女性にもお勧めとのことです。"
道成寺蛇ノ獄で有名な道成寺の銘菓はどれでしょう？,one_answer,つりがね饅頭,かげろう,柚もなか,はまゆう,2,"「つりがね饅頭」です。
その名の通り、清姫が中に隠れた安珍もろとも
 焼き尽くしてしまった、
 件の釣り鐘を模したお菓子です。"
福岡で食べた銘菓はどれでしょう？,one_answer,あまおう,ひよこ饅頭,千鳥饅頭,にわかせんぺい,3,"「あまおう」です。
しっかり味が濃く、甘くてジューシーで
 最高の味わいです！色もとっても綺麗で、ツヤツヤピカピカ。まるで宝石の様だそうです。"
島根で食べた美味しいちゃんを2つ選んでください。,two_answer,公栗庵,大風呂敷,若草,山川,4,"「公栗庵」と「大風呂敷」です。
何と言ってもパッケージが可愛いですよね！
 気になる中身は、ほくほく感の残る餡の中に
 大きな栗がまるごと入ったお菓子で、
 とても美味しかったですとのことです。"
ぬこたんのカメラのレンズの製品名を2つ選んでください。,two_answer,CANON EF50mm F1.4 USM,TAMRON AF18-270mm,シグマ　17-50mm,CANON　EF70-200mm,4,"「CANON EF50mm F1.4 USM」と「TAMRON AF18-270mm」です。
どちらもとてもお気に入りで、前者の単焦点レンズはボケ味を生かしたり、
 工夫次第で色々な使い方ができるそうです。"
四日市で食べた美味しいちゃんはどれでしょう？,one_answer,なが餅,安永餅,アイス饅頭,関の戸,4,"「なが餅」です。
450年前に誕生した歴史ある銘菓だそうで、表面を焼いた香ばしくて
 柔らかいお餅の中に、絶妙な甘さの餡が入った、シンプルかつ奥深い
 味わいのお菓子です。
 薄くのばしてあるせいか、
 お餅なのに軽い食感でたくさん
 食べられちゃったそうです。"
ぬこたんがブログで紹介したことのある好きな美術家はどれでしょう？,one_answer,岡本太郎,香月泰男,絹谷幸二,小磯良平,4,"「岡本太郎」です。
中高生時代、シュルレアリスムや
 ダダイズムなどに興味を持ち、その潮流を辿り
 色々と書物を漁っていた折に出会ったそうです。"
ぬこたんが使っている電子レンジの特徴はどれでしょう？,one_answer,スチーム式オーブンレンジ,くるくる回転する電子レンジ,,,1,"「スチーム式オーブンレンジ」です。
長年使用していた
 オーブンレンジの調子が悪くなり
 思い切ってスチーム式の物に
 買い換えましたそうです。"
